source,yaw,ok
ffhq_00147.jpg,17.0,
ffhq_00009.jpg,-24.6,
ffhq_00136.jpg,15.1,
ffhq_00400.jpg,28.9,
ffhq_00201.jpg,-28.0,
ffhq_00408.jpg,37.2,
ffhq_00462.jpg,38.8,
ffhq_00439.jpg,21.0,
ffhq_00087.jpg,32.0,
ffhq_00344.jpg,-29.1,
ffhq_00140.jpg,-19.7,
ffhq_00389.jpg,20.8,
ffhq_00322.jpg,15.6,
ffhq_00032.jpg,-22.2,
ffhq_00192.jpg,-31.1,
ffhq_00072.jpg,-20.8,
ffhq_00027.jpg,54.5,
ffhq_00452.jpg,-15.4,
ffhq_00193.jpg,-25.3,
ffhq_00111.jpg,43.4,
ffhq_00124.jpg,22.9,
ffhq_00034.jpg,48.8,
ffhq_00278.jpg,17.9,
ffhq_00459.jpg,-20.7,
ffhq_00435.jpg,15.5,
ffhq_00477.jpg,26.8,
ffhq_00468.jpg,27.0,
ffhq_00241.jpg,23.0,
ffhq_00339.jpg,43.3,
ffhq_00129.jpg,-16.8,
